,c,semana,quantidade
1012,70005414,8,0.0
1013,70005414,9,0.0
1014,70005414,10,0.0
1015,70005414,11,0.0
1016,70005414,12,0.0
1017,70005414,13,0.0
1018,70005414,14,0.0
1019,70005414,15,0.0
1020,70005414,16,0.0
1021,70005414,17,0.0
1022,70005414,18,0.0
1023,70005414,19,0.0
1024,70005414,20,0.0
1025,70005414,21,0.0
1026,70005414,22,0.0
1027,70005414,23,0.0
1028,70005414,24,0.0
1029,70005414,25,0.0
1030,70005414,26,0.0
1031,70005414,27,0.0
1032,70005414,28,0.0
1033,70005414,29,0.0
1034,70005414,30,0.0
1035,70005414,31,0.0
1036,70005414,32,0.0
1037,70005414,33,0.0
1038,70005414,34,0.0
1039,70005414,35,0.0
1040,70005414,36,0.0
1041,70005414,37,0.0
1042,70005414,38,0.0
1043,70005414,39,0.0
1044,70005414,40,0.0
1045,70005414,41,0.0
1046,70005414,42,0.0
1047,70005414,43,0.0
1048,70005414,44,0.0
1049,70005414,45,0.0
1050,70005414,46,0.0
1051,70005414,47,0.0
1052,70005414,48,0.0
1053,70005414,49,0.0
1054,70005414,50,0.0
1055,70005414,51,0.0
1056,70005414,52,0.0
1057,70005414,53,0.0
1058,70005414,54,0.0
1059,70005414,55,0.0
1060,70000695,3,0.0
1061,70000695,4,0.0
1062,70000695,5,0.0
1063,70000695,6,0.0
1064,70000695,7,0.0
1065,70000695,8,0.0
1066,70000695,9,0.0
1067,70000695,10,0.0
1068,70000695,11,0.0
1069,70000695,12,0.0
1070,70000695,13,0.0
1071,70000695,14,0.0
1072,70000695,15,0.0
1073,70000695,16,0.0
1074,70000695,17,0.0
1075,70000695,18,0.0
1076,70000695,19,0.0
1077,70000695,20,0.0
1078,70000695,21,0.0
1079,70000695,22,0.0
1080,70000695,23,0.0
1081,70000695,24,0.0
1082,70000695,25,0.0
1083,70000695,26,0.0
1084,70000695,27,0.0
1085,70000695,28,0.0
1086,70000695,29,0.0
1087,70000695,30,0.0
1088,70000695,31,0.0
1089,70000695,32,0.0
1090,70000695,33,0.0
1091,70000695,34,0.0
1092,70000695,35,0.0
1093,70000695,36,0.0
1094,70000695,37,0.0
1095,70000695,38,0.0
1096,70000695,39,0.0
1097,70000695,40,0.0
1098,70000695,41,0.0
1099,70000695,42,0.0
1100,70000695,43,0.0
1101,70000695,44,0.0
1102,70000695,45,0.0
1103,70000695,46,0.0
1104,70000695,47,0.0
1105,70000695,48,0.0
1106,70000695,49,0.0
1107,70000695,50,0.0
1108,70000695,51,0.0
1109,70000695,52,0.0
1110,70000695,53,0.0
1111,70000695,54,0.0
1112,70000695,55,0.0
1113,70002944,3,0.0
1114,70002944,4,0.0
1115,70002944,5,0.0
1116,70002944,6,0.0
1117,70002944,7,0.0
1118,70002944,8,0.0
1119,70002944,9,0.0
1120,70002944,10,0.0
1121,70002944,11,0.0
