,Ordem Venda / Transferência,data_substituir,semana
260,3820015155.0,2021-11-19,46
261,3820015170.0,2021-11-26,47
262,3820015173.0,2021-11-27,47
263,3820015174.0,2021-12-17,50
264,3820015179.0,2021-11-20,46
265,3820015182.0,2021-11-20,46
266,3820015183.0,2021-11-27,47
267,3820015184.0,2021-11-27,47
268,3820015188.0,2021-12-24,51
269,3820015189.0,2021-11-27,47
270,3820015195.0,2021-11-20,46
271,3820015211.0,2021-12-17,50
272,3820015212.0,2021-11-26,47
273,3820015213.0,2021-11-26,47
274,3820015215.0,2021-11-27,47
275,3820015218.0,2021-11-27,47
276,3820015220.0,2021-11-26,47
277,3820015237.0,2021-11-27,47
278,3820015239.0,2021-11-27,47
279,3820015241.0,2021-11-26,47
280,3820015242.0,2021-12-18,50
281,3820015244.0,2021-12-23,51
282,3820015245.0,2021-12-18,50
283,3820015258.0,2021-12-24,51
284,3820015280.0,2021-12-25,51
285,3820015282.0,2021-11-05,44
286,3820015284.0,2021-12-04,48
287,3820015285.0,2021-11-20,46
288,3820015286.0,2021-11-05,44
289,3820015288.0,2021-12-04,48
290,3820015291.0,2021-11-06,44
291,3820015298.0,2021-12-17,50
292,3820015299.0,2021-12-24,51
293,3820015301.0,2021-12-25,51
294,3820015302.0,2021-10-30,43
295,3820015317.0,2021-12-18,50
296,3820015322.0,2021-11-25,47
297,3820015323.0,2021-10-22,42
298,3820015325.0,2021-11-20,46
299,3820015326.0,2021-11-06,44
300,3820015327.0,2021-12-18,50
301,3820015331.0,2021-10-23,42
302,3820015336.0,2021-11-26,47
303,3820015340.0,2021-11-27,47
304,3820015343.0,2021-11-26,47
305,3820015344.0,2021-11-20,46
306,3820015345.0,2021-11-20,46
307,3820015346.0,2021-11-26,47
308,3820015351.0,2021-11-19,46
309,3820015358.0,2021-11-25,47
310,3820015359.0,2021-11-19,46
311,3820015365.0,2021-10-29,43
312,3820015366.0,2021-12-11,49
313,3820015367.0,2021-12-11,49
314,3820015374.0,2021-11-27,47
315,3820015376.0,2021-12-04,48
316,3820015377.0,2021-11-27,47
317,3820015380.0,2021-12-18,50
318,3820015382.0,2021-11-27,47
319,3820015383.0,2021-11-27,47
320,3820015388.0,2021-12-04,48
321,3820015389.0,2021-12-18,50
322,3820015469.0,2021-12-10,49
323,3820015471.0,2021-12-11,49
324,3820015476.0,2021-11-27,47
325,3820015478.0,2021-11-26,47
326,3820015484.0,2021-12-04,48
327,3820015486.0,2021-12-04,48
328,3820015492.0,2021-11-30,48
329,3820015494.0,2021-12-15,50
330,3820015500.0,2021-11-27,47
331,3820015525.0,2021-12-04,48
332,3820015526.0,2021-11-19,46
333,3820015527.0,2021-11-18,46
334,3820015530.0,2021-12-04,48
335,3820015531.0,2021-12-04,48
336,3820015532.0,2021-12-04,48
337,3820015533.0,2021-11-27,47
338,3820015535.0,2021-11-20,46
339,3820015536.0,2021-12-11,49
340,3820015540.0,2021-11-26,47
341,3820015555.0,2021-11-27,47
342,3820015558.0,2021-11-27,47
343,3820015559.0,2021-11-13,45
344,3820015560.0,2021-11-13,45
345,3820015562.0,2021-11-27,47
346,3820015563.0,2021-12-11,49
347,3820015564.0,2021-11-26,47
348,3820015568.0,2021-11-19,46
349,3820015571.0,2021-11-27,47
350,3820015574.0,2021-11-27,47
351,3820015590.0,2021-11-27,47
352,3820015597.0,2021-12-11,49
353,3820015599.0,2021-12-11,49
354,3820015601.0,2021-12-11,49
355,3820015606.0,2021-11-26,47
356,3820015610.0,2021-12-11,49
